User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Tim Cook,2022-11-15 21:10:09+00:00,47475,5395,,"At Apple, we believe everyone should have the freedom to marry the person they love. We’re proud to support the bipartisan Respect for Marriage Act and strongly urge the U.S. Senate to act on behalf of families across the nation."
Tim Cook,2022-11-15 14:47:30+00:00,5880,800,,A new safety feature that provides customers peace of mind is now available in the US and Canada across the iPhone 14 lineup — Emergency SOS via satellite. Users can now message emergency services without Wi-Fi or cell service. 🛰️ https://t.co/jtyzayB0bV
Tim Cook,2022-11-11 15:03:33+00:00,6935,450,,"We owe a debt we can never repay to our nation’s veterans, service members, and their families. To all the veterans at Apple and beyond, thank you for your service and sacrifice."
Tim Cook,2022-11-10 15:03:49+00:00,3164,406,,Emergency SOS via satellite on iPhone 14 is supported by the breakthrough technology and ingenuity of American companies. You can explore further than ever while knowing that help is still within reach. https://t.co/VamL3Wh5cb
Tim Cook,2022-11-08 00:13:20+00:00,1987,251,,"For so many veterans, the fight continues long after their service because of the effects of PTSD. NightWare is helping veterans cope with one of the most pernicious symptoms of that condition — and it’s profound to see the impact it’s already having. https://t.co/VZRl0sLOpz"
Tim Cook,2022-10-27 00:56:57+00:00,3036,251,,Congratulations to the first graduating class of Swift Explorers Singapore! Students in the program learned the basics of coding and developed creative apps that solve issues they’re passionate about — from helping people care for their families to improving mental wellness. https://t.co/ojeIQv4ruT
Tim Cook,2022-10-26 23:42:22+00:00,3824,317,,One of the many things I love about iPad is all the creativity it inspires and how much potential it unlocks. I can’t wait to see what people do with the next-generation iPad and iPad Pro — now available! https://t.co/xPGiVk87Il
Tim Cook,2022-10-25 16:52:09+00:00,2830,318,,"Fighting climate change is one of Apple’s most urgent priorities. We set an ambitious goal to be carbon neutral across our supply chain by 2030, and we are committed to working with our suppliers to make that a reality. https://t.co/CZUVlQUEaK"
Tim Cook,2022-10-24 02:19:06+00:00,46265,3083,,This photo beautifully captures why Diwali is known as the Festival of Lights. Wishing all who celebrate a holiday full of joy and prosperity. #ShotoniPhone by Apeksha Maker. https://t.co/BhUH1MkFfS
Tim Cook,2022-10-22 19:20:42+00:00,5608,356,,Stopped by Apple Domain NORTHSIDE and Apple Barton Creek to spend time with the teams. Thanks for all you do for our customers! https://t.co/94mkFndYdq
Tim Cook,2022-10-22 01:10:29+00:00,5618,337,,It's been nearly 30 years since Apple opened its first office in Austin! Our new campus is a reflection of all the breakthroughs to come. https://t.co/k638lil4Tv
Tim Cook,2022-10-22 00:10:07+00:00,26025,1438,,Our engineering teams in Austin are hard at work on powerful next-generation silicon chips. Great to see them in action today! https://t.co/iT0QLoQUVM
Tim Cook,2022-10-18 15:26:11+00:00,7446,1101,,"We’re excited to introduce our most advanced iPad lineup yet! iPad has major updates, and M2 supercharges iPad Pro’s performance to help unleash your creativity and enhance productivity. Looking forward to seeing what our users will create! https://t.co/POT5Kd6sTM"
Tim Cook,2022-10-18 12:00:01+00:00,29707,4236,,The possibilities are endless. #TakeNote https://t.co/msmJg865tr
Tim Cook,2022-10-10 14:04:44+00:00,4526,302,,"On this Indigenous Peoples’ Day, we honor the dynamic cultures, experiences, and contributions of Native communities."
Tim Cook,2022-10-06 20:55:39+00:00,1562,201,,"From helping kids learn Spanish to making grocery store shopping more accessible to expanding access to mental health tools, these developers are sharing their talent, skills, and culture to make the world more inclusive. https://t.co/xp0SHVWdSR"
Tim Cook,2022-10-05 14:12:03+00:00,53840,5707,,"Steve showed us all, again and again, that a great idea really can change the world. Remembering him today and always. https://t.co/LNPBYjOiLs"
Tim Cook,2022-10-04 15:52:53+00:00,1551,148,,"We’re proud to work side by side with educators and community-based organizations to support learners of all ages as part of our Community Education Initiative, opening doors to new opportunities for students around the world. https://t.co/u3bYvCnywB"
Tim Cook,2022-09-30 19:09:32+00:00,4149,210,,"What an incredible week spending time with our teams across Europe and celebrating developers, students, and creators who are leaving their mark on the world. Grazie mille team Milan — Arrivederci! https://t.co/zCumAio2bU"
Tim Cook,2022-09-30 14:25:56+00:00,1710,157,,"What started as a project between friends became a thriving business on the App Store — and above all, they know how to step up to help their community. Thanks for inviting me to meet with the whole team today! Bravi! https://t.co/vfLnOXwCay"
Tim Cook,2022-09-30 13:20:46+00:00,2441,189,,"Thank you to the team at Apple Piazza Liberty! I saw the impact Today at Apple Creative Studios has on young creatives in the community. We’re grateful for the partnership with Afro Fashion giving emerging designers the tools, connections, and support to pursue their dreams. https://t.co/dxTHINASDb"
Tim Cook,2022-09-30 11:43:53+00:00,2361,156,,Triennale Milano is an extraordinary institution — a grand building where amazing artists reflect on today’s biggest issues. I loved hearing how Giovanna used iPhone photography to inspire people during the pandemic. Thank you Stefano for a very special tour! https://t.co/xibu6PK5M5
Tim Cook,2022-09-30 07:29:29+00:00,2586,176,,"Gold Medal Paralympian @VioBebe doesn’t believe anything is impossible — and, at Apple, neither do we! It was great to meet you, Sandro, and the team to see how you're championing inclusive sports, making them accessible to all, and igniting positive change everywhere you go. https://t.co/e6rEhvLY1o"
Tim Cook,2022-09-29 18:00:48+00:00,3133,289,,"Thank you to the University of Naples Federico II for the honor, for your hospitality, and for the incredibly important work you do. https://t.co/NfP8a6ZjC4"
Tim Cook,2022-09-29 17:37:10+00:00,4735,502,,We launched the Apple Developer Academy in Naples — our first in Europe — to help students from all over the world learn the skills they need to enrich people’s lives. Today’s visit was a reminder of all education can inspire — and I can’t wait to see what these students achieve. https://t.co/tLHf2o52YW
Tim Cook,2022-09-29 14:25:15+00:00,3597,231,,"We are keeping everyone being affected by Hurricane Ian in our thoughts, and we thank the first responders for helping those in harm’s way. Apple is donating to relief efforts on the ground."
Tim Cook,2022-09-28 19:45:29+00:00,7739,564,,"Ciao Italia — great to be in Naples! Thank you to sculptor Jago for inviting me to his incredible studio. Inspired by artists of the past, he uses technology to create masterpieces for generations to come. https://t.co/FAx8a1LFUb"
Tim Cook,2022-09-28 17:25:40+00:00,5548,209,,"Hard to believe it’s been almost 15 years since we opened Apple Rosenstraße, our first store in Germany. Great to be back with the team! https://t.co/pLZoecvkZU"
Tim Cook,2022-09-28 16:01:44+00:00,5763,329,,The young athletes at @FCBayern are learning critical skills both on and off the pitch. I especially enjoyed seeing how they use our products to train hard and achieve their dreams. https://t.co/mgdikZ8gVJ
