User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Google,2023-12-13 22:31:29+00:00,323,43,,"My friend: “I need to stop buying lattes every morning 😣”

Me, yet to get them a holiday gift: https://t.co/oJOVaivVsS"
Google,2023-12-13 20:48:36+00:00,584,125,,"Gemini API ☑️
Imagen 2 ☑️
MedLM ☑️

Get the latest on all the AI tools and platforms we announced today for developers and @GoogleCloud customers → https://t.co/5sgE2vklDw #GeminiAI https://t.co/xRF6fKZGZb"
Google,2023-12-13 15:09:38+00:00,877,204,,"It’s time to #BuildWithGemini. 
Gemini Pro is now available for @GoogleCloud customers in Vertex AI, as well as to developers in AI Studio. Learn more ↓ https://t.co/NlVfrMxjuk #GeminiAI"
Google,2023-12-13 14:00:16+00:00,2411,686,,"Happy birthday to @TaylorSwift13, the songwriter who made the whole world shimmer — and search. 🎂✨ https://t.co/5Tp2BOQous #YearInSearch https://t.co/i5wXVs6Os5"
Google,2023-12-13 05:21:57+00:00,5662,1097,,"From superstars to local heroes, here’s to the icons the world searched for most in the last 25 years. #YearInSearch https://t.co/ccpQryIqRO"
Google,2023-12-12 22:47:02+00:00,446,92,,"Of all the sponges above and below the sea, only one was Most Searched. This year, we’re celebrating the most searched icons of all time. https://t.co/5Tp2BOQous #YearInSearch https://t.co/HtYWyfv0NH"
Google,2023-12-12 22:11:02+00:00,355,93,,"What was your favorite part of the #YearInSearch film? Drop screenshots of your most searched below, ❤️ your favorites and see who rises to the top. https://t.co/M5esn3ltua"
Google,2023-12-12 18:02:37+00:00,258,49,,"1% sweet. 
99% spice.
100% the most entertaining guest at any wintertime get-together.

Let Spicy Gingerbread Man and his fresh-baked opinions guide you to your destination this holiday season.

Activate on mobile now → https://t.co/I7bQRIQLDp https://t.co/eDD4jg6yiF"
Google,2023-12-12 15:41:49+00:00,784,192,,Today’s #GoogleDoodle deserves a closer look. Explore the Doodle today to play → https://t.co/LXpJ7tLWbS #YearInSearch https://t.co/rNRX9Z2cUe
Google,2023-12-12 00:32:13+00:00,445,100,,"Here’s to the toy that inspired millions to dream big. This year, we’re celebrating the most searched icons of all time. https://t.co/5Tp2BOQous #YearInSearch https://t.co/9LRCornDOY"
Google,2023-12-11 16:06:34+00:00,334,53,,"What #GoldenGlobes nominated-film was also the global top trending film in 2023, and the most searched toy in Google history?"
Google,2023-12-11 14:27:28+00:00,19831,6229,,"If the last 25 years have taught us anything, the next 25 will change everything. Here’s to the most searched moments of all time. #YearInSearch https://t.co/MdrXC4ILtr"
Google,2023-12-08 23:04:19+00:00,857,181,,"We're launching an updated release of NotebookLM, an experimental product in Labs. Now available to anyone 18+ in the U.S., NotebookLM is also starting to use Gemini Pro and has new features to help you easily read, take notes and organize your writing ↓ https://t.co/8M31VrCN6e"
Google,2023-12-08 22:19:03+00:00,1046,230,,"Testing #GeminiAI 

Let’s see if Gemini can understand how some unusual emojis were created using Emoji Kitchen 👀🎥 https://t.co/zCdAN8fDvY"
Google,2023-12-07 22:06:24+00:00,1535,314,,Gemini represents a significant leap forward in how AI can help improve our daily lives. Welcome to the Gemini era → https://t.co/vmnUvVT2X7 https://t.co/r6Q5Qq7wYH
Google,2023-12-07 20:00:19+00:00,1066,208,,Gemini Nano is now running on #Pixel8 Pro. Learn how it’s powering Summarize in the Recorder App and Smart Reply in Gboard — and get the scoop on all the latest updates coming to Pixel.  #GeminiAI https://t.co/jyE2e0E6U8
Google,2023-12-07 17:32:53+00:00,2138,531,,Everything you need to know about Gemini — Google’s largest and most capable AI model — in just 90 seconds. #GeminiAI https://t.co/b7j08bV0YN
Google,2023-12-06 22:08:21+00:00,486,78,,.@MarkRober takes Bard with Gemini Pro for a test flight ✈️ #GeminiAI #Bard https://t.co/jedYjGJTBA
Google,2023-12-06 20:05:46+00:00,134,19,,Check out more new Pixel features ↓ https://t.co/jyE2e0E6U8
Google,2023-12-06 20:01:08+00:00,258,36,,"Gemini Nano on #Pixel8 Pro is also starting to power Smart Reply in Gboard, which suggests high-quality responses to messages. It’s available now in English for developer preview in WhatsApp, and coming to more apps next year. https://t.co/Lp9stPxU7s"
Google,2023-12-06 20:00:57+00:00,145,20,,Summarize in the Recorder App on #Pixel8 Pro will provide a summary of conversations you’ve recorded — from interviews to lectures. Available in English now. https://t.co/8uqm69W4po
Google,2023-12-06 20:00:47+00:00,2114,318,,"Starting today, Gemini Nano is running on #Pixel8 Pro. Learn more about the first two helpful features powered by our most efficient model for on-device experiences. 🧵 #GeminiAI https://t.co/DHuGemouiI"
Google,2023-12-06 18:29:56+00:00,260,48,,These demos all show examples of “multimodal prompting” — giving Gemini combinations of different modalities and having Gemini respond. Here’s how we made them — and some ideas for your own multimodal prompts. https://t.co/9Dh1EFitKM
Google,2023-12-06 18:29:56+00:00,5352,1397,,"Let's go hands-on with #GeminiAI. 

Our newest AI model can reason across different types of inputs and outputs — like images and text. See Gemini's multimodal reasoning capabilities in action ↓ https://t.co/tikHjGJ5Xj"
Google,2023-12-06 15:58:56+00:00,2273,461,,"Gemini 🤝 Bard
Starting today, our specifically tuned version of Gemini Pro is available in Bard, unlocking new ways to collaborate with AI. Next year, we’re introducing Bard Advanced with Gemini Ultra for even more complex tasks. Learn more ↓ #GeminiAI https://t.co/hEPbj9faHr"
Google,2023-12-06 15:29:46+00:00,219,54,,"Starting Dec 13, Gemini Pro will be available to developers in AI Studio, and to Cloud customers in Vertex AI via the Gemini API. #BuildWithGemini

Learn more about Gemini ↓  https://t.co/T0tIw9Ioom"
Google,2023-12-06 15:29:46+00:00,197,43,,"From natural image understanding to mathematical reasoning to audio and video understanding, Gemini Ultra exceeds current state-of-the-art results on 30 out of 32 widely-used industry benchmarks.
https://t.co/6x1UfwqzaP"
Google,2023-12-06 15:29:05+00:00,187,30,,"Gemini is our most flexible model yet, efficiently built to run on everything from mobile phones to data centers with three sizes: 
- Gemini Ultra: largest model for highly-complex tasks 
- Gemini Pro: best for scaling across a range of tasks
- Gemini Nano: for on-device tasks https://t.co/P68aLkoP4G"
Google,2023-12-06 15:28:56+00:00,250,37,,"Built to be multimodal, Gemini can generalize, understand, operate across and combine different types of info — like text, images, audio, video and code. https://t.co/C1gE5S9k46"
Google,2023-12-06 15:28:47+00:00,8054,1833,,"Introducing Gemini, Google’s largest and most capable AI model. 🧵 #GeminiAI https://t.co/T0tIw9HQyO"
Google,2023-12-06 15:04:13+00:00,2874,790,,"We believe in making AI helpful for everyone. That’s why we’re launching Gemini, our most capable model that’s inspired by the way people understand and interact with the world. #GeminiAI https://t.co/gNG9ha9xMO"
Google,2023-12-05 21:18:46+00:00,303,82,,"Join Mira Lane, Senior Director of Technology &amp; Society at Google, and media artist @RefikAnadol as they explore the transformative power of #AI in art a new episode of our Dialogues video series.  Learn more ↓ https://t.co/KExgVAEtZm"
Google,2023-12-01 19:44:56+00:00,580,137,,was this the gift you had in mind? 🎁 https://t.co/sd8MSAXBCn https://t.co/rmfPVDOTbg
Google,2023-12-01 19:18:25+00:00,200,54,,check your answer in Emoji Kitchen on Search 👌 https://t.co/9t60uMA8bp
Google,2023-12-01 19:18:14+00:00,627,95,,we made this by combining two emojis on Emoji Kitchen 🤤 👀 can you guess which two?? https://t.co/ATq7adKL5T
Google,2023-12-01 15:20:00+00:00,456,119,,Gmail has 6 inbox types — here’s how to choose the one that’s right for you ↓ https://t.co/HrpwXsBOdT
Google,2023-12-01 03:25:55+00:00,308,55,,"We’re expanding the @googlearts Indigenous Americas hub, which honors the rich heritage and evolving presence of Native groups with the addition of nine new exhibits. Learn more ↓  https://t.co/dZsuJR9Beo"
Google,2023-11-30 22:21:57+00:00,284,74,,"Meet Alan, a travel enthusiast and retired railway worker. Alan uses Project Relate, a beta Android application designed to make communication easier, in his weekly volunteer work. Learn more ↓ https://t.co/6MASgBrgT4"
Google,2023-11-30 21:09:34+00:00,216,51,,"Google Registry shares six partners — and four cat websites! — that are helping to kick off our new .meme top-level domain, making a purrfect 10. Learn more ↓ https://t.co/gTst1vH9CO"
Google,2023-11-30 20:08:47+00:00,574,84,,".@Android rolled out 11 new features and updates that can help you personalize your devices, helping you create a world that is uniquely yours ↓ https://t.co/Ks6wVppnXM"
Google,2023-11-29 21:14:50+00:00,479,69,,Here’s what you watched the most on Google TV this year ↓ https://t.co/m1ZfD0lnUi
Google,2023-11-29 18:53:20+00:00,411,65,,".@GoogleOrg is opening access to robotics education for Indigenous students living on U.S. Tribal Reservations. Learn more about our $500,000 grant to the REC Foundation → https://t.co/dZsuJR9Beo https://t.co/JIutbUv19J"
Google,2023-11-29 17:50:00+00:00,377,62,,"Whether you're talking about ""bass"" (the fish) or ""bass"" (the instrument), Google Translate's neural machine learning models can figure out what you mean — here's how ↓ https://t.co/GsZ53aPHya"
Google,2023-11-29 15:40:00+00:00,397,43,,"From vibrating notifications to the padded click of buttons, learn how we design the feel of your favorite Google products ↓ https://t.co/3hMATXXZFY"
Google,2023-11-28 19:18:49+00:00,555,114,,"Thousands of languages are spoken in Africa, but the vast majority are not well documented online. Learn how the Google Research team in Ghana has been collecting data to train automatic speech recognition models for local languages ↓ https://t.co/6prL4zO2pU"
Google,2023-11-22 22:12:14+00:00,628,121,,"Explore the Cyberpunk 2077 universe with Chromebook Plus enhanced cloud gaming, featuring the Everything Button, RGB keyboard and razor-sharp 120 Hz display. Take a closer look at the video 👀 and see if you can find the hidden coordinates ↓ https://t.co/3GFl8j8Xip"
Google,2023-11-22 20:42:31+00:00,309,67,,"Storytelling is intrinsic to India’s rich cultural heritage. We teamed up with GDI, USC and IAA to apply our AI to study how visual storytelling on Indian TV is representative of India's demography. Learn more → https://t.co/4Fta7Jr4wO https://t.co/WbeveLRP3l"
Google,2023-11-22 19:38:39+00:00,308,62,,"Meet Louie Gong, an artist who founded the lifestyle brand Eighth Generation in part to create more opportunities for Native American artists. Watch to learn more ↓ https://t.co/VBjnDJNGoh"
Google,2023-11-22 18:50:19+00:00,273,62,,"From climate change to healthcare access, startups and developers are working to solve our world’s most pressing issues. Learn more about how Google’s accelerators are helping in our first-ever Accelerator Impact Report → https://t.co/sdfN1KtaHj #AcceleratedWithGoogle"
Google,2023-11-22 17:56:01+00:00,244,40,,"The biggest shopping days of the year are almost here.  🛍️ Here are four ways we can help you find great bargains, gift inspiration, small businesses to support and more ↓ https://t.co/a2wI7oVCRH"
Google,2023-11-22 15:21:00+00:00,547,114,,Here's how to set up your Google Account for faster account recovery in case you ever get locked out ↓ https://t.co/6UWgnKkhN5
Google,2023-11-21 20:18:37+00:00,494,119,,"Go passwordless and stop attacks with the latest version of our Titan Security key, which can store up to 250 unique passkeys. Learn more ↓  https://t.co/vK2RtHPdSK"
Google,2023-11-21 15:23:54+00:00,389,62,,".@Waze’s latest safety feature, crash history alerts, brings together AI and user reports to keep you informed of crash-prone roads. Learn more ↓ https://t.co/6XNmAv4ovb"
Google,2023-11-21 14:31:09+00:00,345,66,,"Throughout #NativeAmericanHeritageMonth, we’re featuring Native and Indigenous authors throughout @GooglePlay, including collections of e-books, audiobooks and children’s books → https://t.co/qsMCzxoIoJ https://t.co/haOAmp6Oyc"
Google,2023-11-20 22:20:23+00:00,577,164,,Ready to get started with Bard? Here are 5-must knows about generative AI. Check it out today → https://t.co/2x2uFiN5px https://t.co/PD5af9LAf0
Google,2023-11-20 21:21:50+00:00,220,61,,"Teachers, get involved with this year’s #CSEdWeek, coming up December 4-10 💻
See how you can discover exciting career paths and inspire your students to learn new skills → https://t.co/FbDloSomKc #GrowWithGoogle"
Google,2023-11-20 20:33:42+00:00,242,54,,"This #BlackOwnedFriday, the one and only @KekePalmer is showing everyone how to search, shop and support Black-owned businesses 100%. Search ""black-owned businesses near me"" and start shopping. https://t.co/IOQCcfExSS"
Google,2023-11-20 19:42:00+00:00,413,68,,Want to keep tabs on your health and your email notifications? Or maybe you want a smaller screen? Here’s a guide to choosing the right wearable device from the latest lineup of smartwatches and fitness trackers @madebygoogle ↓ https://t.co/zto0S6P2cX
Google,2023-11-17 16:52:28+00:00,655,119,,"We're expanding Bard access to teens in most countries, starting with English. Try it now → https://t.co/2x2uFiN5px https://t.co/wxjzm8yBCJ"
Google,2023-11-16 23:22:06+00:00,390,73,,We’re working to provide equitable access to STEM education for students of all ages in Los Angeles. Here’s how → https://t.co/eiAL0A0uxF https://t.co/UbBPUQiAzc
Google,2023-11-16 22:09:49+00:00,373,68,,Make holiday shopping easier with AI-generated gift ideas on Search for everyone on your list. Try it → https://t.co/WIzAUlFRWq https://t.co/aKTqxCiz9P
Google,2023-11-16 17:36:58+00:00,225,43,,Grow with Google and @NCAI1944 are partnering to offer digital skills training to Indigenous entrepreneurs and help them grow their businesses. Learn more → https://t.co/dZsuJR9Beo https://t.co/fDBGC5HjUZ
Google,2023-11-16 16:27:04+00:00,305,43,,"8 @GoogleMaps tips to help you travel a little easier with updates to transit, new ways to make plans with friends and more ↓ https://t.co/bfYaoxnAZo"
Google,2023-11-16 14:50:00+00:00,701,81,,From new photography features to custom wallpapers — here are 8 things one Googler noticed after upgrading to #Pixel8 Pro ↓ https://t.co/vikDrJLJZo
Google,2023-11-15 21:58:41+00:00,308,55,,Ease into holiday travel with @GoogleMaps and find out the worst and best times to hit the road for Thanksgiving — and how to avoid the shopping crowds this season ↓ https://t.co/4067fYyLOK
Google,2023-11-15 20:25:43+00:00,367,75,,"As more people start to use generative AI tools, scammers have started to take advantage of unsuspecting users. Learn what we’re doing to stop them → https://t.co/e7rROSRPio https://t.co/tN2KyyZlhE"
